isbn,Author,Category,Author_NY,Title_NY,author_gender
044101769X,BUTCHER JIM,Fantasy,Jim Butcher,FIRST LORD&#39;S FURY,male
0345530977,STEEL DANIELLE,Romance,Danielle Steel,PEGASUS,female
0399155406,WHITE RANDY WAYNE,Suspense/Thrillers,Randy Wayne White,DEAD SILENCE,male
0062196243,MAUPIN ARMISTEAD,Fiction General,Armistead Maupin,THE DAYS OF ANNA MADRIGAL,male
0451226380,OSMOND MARIE,Biography/Autobiography/Memoir,Marie Osmond with Marcia Wilkie,MIGHT AS WELL LAUGH ABOUT IT NOW,multi
0765330423,SANDERSON BRANDON,Fantasy,Brandon Sanderson,THE ALLOY OF LAW,male
0061690317,MADDEN BILL,Biography/Autobiography/Memoir,Bill Madden,STEINBRENNER,male
0399164731,COULTER CATHERINE,Suspense/Thrillers,Catherine Coulter and JT Ellison,THE FINAL CUT,multi
1439102457,REICHS KATHY,Suspense/Thrillers,Kathy Reichs,BONES OF THE LOST,female
0062071475,MEYER STEPHEN C.,Religion/Bibles,Stephen C Meyer,DARWIN&#39;S DOUBT,male
0812993012,CATMULL ED,Business/Economics,Ed Catmull with Amy Wallace,"CREATIVITY, INC",multi
1455536342,DEAVER JEFFERY,Suspense/Thrillers,Jeffery Deaver,THE STEEL KISS,male
0385351372,NESBO JO,Mystery/Detective,Jo Nesbo,THE SON,male
0307986969,GUTFELD GREG,Humor,Greg Gutfeld,JOY OF HATE,male
0307588335,MCDONALD LAWRENCE G.,Business/Economics,Lawrence G McDonald and Patrick Robinson,A COLOSSAL FAILURE OF COMMON SENSE,multi
0525952039,CHIAVERINI JENNIFER,Fiction General,Jennifer Chiaverini,THE UNION QUILTERS,female
0062060554,WATSON S. J.,Horror/Occult/Psychological,S J Watson,BEFORE I GO TO SLEEP,female
1401324029,CASTLE RICHARD,Suspense/Thrillers,Richard Castle,NAKED HEAT,male
1451635117,ENGEL RICHARD,History/Law/Political Science,Richard Engel,AND THEN ALL HELL BROKE LOOSE,male
0061230944,ROLLINS JAMES,Suspense/Thrillers,James Rollins,THE LAST ORACLE,male
0802122647,LEON DONNA,Mystery/Detective,Donna Leon,BY ITS COVER,female
0345497627,GERRITSEN TESS,Mystery/Detective,Tess Gerritsen,THE KEEPSAKE,female
031238078X,SCOTTOLINE LISA,Suspense/Thrillers,Lisa Scottoline,SAVE ME,female
0345501578,BROCKMANN SUZANNE,Romance,Suzanne Brockmann,HOT PURSUIT,female
1617732168,FLUKE JOANNE,Mystery/Detective,Joanne Fluke,WEDDING CAKE MURDER,female
1250083974,ROMNEY ANN,Biography/Autobiography/Memoir,Ann Romney,IN THIS TOGETHER,female
0345509188,DENNING TROY,Science Fiction,Troy Denning,ABYSS,male
1414319312,ROSENBERG JOEL C.,History/Law/Political Science,Joel C Rosenberg,INSIDE THE REVOLUTION,male
0670021040,BROOKS GERALDINE,Fiction General,Geraldine Brooks,CALEB&#39;S CROSSING,female
0061624764,BARRY BRUNONIA,Mystery/Detective,Brunonia Barry,THE LACE READER,female
1451640218,HUNTER STEPHEN,Suspense/Thrillers,Stephen Hunter,SNIPER&#39;S HONOR,male
1401323529,KOONTZ DEAN R.,Biography/Autobiography/Memoir,Dean Koontz,A BIG LITTLE LIFE,male
0849948363,BURPO TODD,Religion/Bibles,Todd Burpo with Lynn Vincent,HEAVEN IS FOR REAL,multi
0316045608,LIFE MAGAZINE,Biography/Autobiography/Memoir,the editors of Life magazine,THE AMERICAN JOURNEY OF BARACK OBAMA,unknown
0345544048,REICHS KATHY,Suspense/Thrillers,Kathy Reichs,SPEAKING IN BONES,female
1439199582,EYMAN SCOTT,Biography/Autobiography/Memoir,Scott Eyman,JOHN WAYNE,male
0399155694,BARR NEVADA,Mystery/Detective,Nevada Barr,BORDERLINE,female
1594203334,DRUCKERMAN PAMELA,Reference,Pamela Druckerman,BRINGING UP BÊBÊ,female
0307888878,CAROLLA ADAM,Humor,Adam Carolla,NOT TACO BELL MATERIAL,male
0316074233,WALLACE DAVID FOSTER,Fiction General,David Foster Wallace,THE PALE KING,multi
0399158294,BERENSON ALEX,Mystery/Detective,Alex Berenson,THE SHADOW PATROL,male
038553695X,GOLDSTEIN DANA,Nonfiction General,Dana Goldstein,THE TEACHER WARS,female
1451647034,KINGSBURY KAREN,Religious Fiction,Karen Kingsbury,THE CHANCE,female
0812996410,OREN MICHAEL B.,Biography/Autobiography/Memoir,Michael B Oren,ALLY,male
0399155422,ROBARDS KAREN,Suspense/Thrillers,Karen Robards,PURSUIT,female
0061173932,EHRMAN BART D.,Religion/Bibles,Bart D Ehrman,"JESUS, INTERRUPTED",male
0060004878,LEHANE DENNIS,Suspense/Thrillers,Dennis Lehane,LIVE BY NIGHT,male
0385492723,HARRIS E. LYNN,Fiction General,E Lynn Harris,JUST TOO GOOD TO BE TRUE,male
1594203075,BAUMEISTER ROY F.,Self Help,Roy F Baumeister and John Tierney,WILLPOWER,multi
0385531400,CHILD LINCOLN,Suspense/Thrillers,Lincoln Child,THE FORGOTTEN ROOM,male
1501116444,WOODWARD BOB,History/Law/Political Science,Bob Woodward,THE LAST OF THE PRESIDENT&#39;S MEN,male
0345531795,KING LAURIE R.,Mystery/Detective,Laurie R King,DREAMING SPIES,female
0399160205,ECHOLS DAMIEN,Biography/Autobiography/Memoir,Damien Echols,LIFE AFTER DEATH,male
1594202664,CHERNOW RON,Biography/Autobiography/Memoir,Ron Chernow,WASHINGTON,male
1416550038,EVANS RICHARD PAUL,Fiction General,Richard Paul Evans,GRACE,male
1601427557,BOLZ-WEBER NADIA,Biography/Autobiography/Memoir,Nadia Bolz-Weber,ACCIDENTAL SAINTS,female
0399162577,GRIFFIN W. E. B.,Suspense/Thrillers,WEB Griffin and William E Butterworth IV,THE LAST WITNESS,multi
0399159738,BERENSON ALEX,Suspense/Thrillers,Alex Berenson,THE COUNTERFEIT AGENT,male
0312614586,BARR NEVADA,Mystery/Detective,Nevada Barr,DESTROYER ANGEL,female
0399156194,BLAKE SARAH,Fiction General,Sarah Blake,THE POSTMISTRESS,female
0061242993,CONNORS JIMMY,Biography/Autobiography/Memoir,Jimmy Connors,THE OUTSIDER,male
0312368119,JOHANSEN IRIS,Suspense/Thrillers,Iris Johansen,DEADLOCK,female
0307463451,ALDRIN BUZZ,Reference,Buzz Aldrin with Ken Abraham,MAGNIFICENT DESOLATION,multi
0446550000,MEACHAM LEILA,Fiction General,Leila Meacham,ROSES,female
1400064805,RUSSERT TIM,Reference,Tim Russert,WISDOM OF OUR FATHERS,male
0061558222,TORO GUILLERMO DEL,Suspense/Thrillers,Guillermo del Toro and Chuck Hogan,THE FALL,multi
1451626118,GREGORY PHILIPPA,Fiction General,Philippa Gregory,THE KING&#39;S CURSE,female
1451661215,BROWN KODY,Biography/Autobiography/Memoir,"Kody, Meri, Janelle, Christine and Ron Brown",BECOMING SISTER WIVES,multi
0374102414,PACKER GEORGE,History/Law/Political Science,George Packer,THE UNWINDING,male
1602861765,BRZEZINSKI MIKA,Health/Fitness/Medicine/Sports,Mika Brzezinski with Diane Smith,OBSESSED,female
0316098337,DONOGHUE EMMA,Fiction General,Emma Donoghue,ROOM,female
006199104X,ROLLINS JAMES,Suspense/Thrillers,James Rollins and Rebecca Cantrell,THE BLOOD GOSPEL,multi
0385344031,BRADLEY ALAN,Mystery/Detective,Alan Bradley,SPEAKING FROM AMONG THE BONES,male
0345527410,SHAARA JEFF,Fiction General,Jeff Shaara,THE SMOKE AT DAWN,male
1400067898,SMITH SALLY BEDELL,Biography/Autobiography/Memoir,Sally Bedell Smith,ELIZABETH THE QUEEN,female
0679643753,SHTEYNGART GARY,Biography/Autobiography/Memoir,Gary Shteyngart,LITTLE FAILURE,male
0425256758,BRIGGS PATRICIA,Fantasy,Patricia Briggs,DEAD HEAT,female
0385350570,REICH ROBERT B.,Business/Economics,Robert B Reich,SAVING CAPITALISM,male
0316185361,LUTTRELL MARCUS,Biography/Autobiography/Memoir,Marcus Luttrell and James D Hornfischer,SERVICE,multi
0345531000,STEEL DANIELLE,Romance,Danielle Steel,COUNTRY,female
1476707626,GLANVILLE BRANDI,Biography/Autobiography/Memoir,Brandi Glanville with Leslie Bruce,DRINKING AND TWEETING,female
0767928350,WEBB JIM,History/Law/Political Science,Jim Webb,A TIME TO FIGHT,male
0812993403,MEYER DAKOTA,History/Law/Political Science,Dakota Meyer and Bing West,INTO THE FIRE,multi
0345511344,KARPYSHYN DREW,Science Fiction,Drew Karpyshyn,THE OLD REPUBLIC: REVAN,male
0062319752,BROOKS ARTHUR,History/Law/Political Science,Arthur C Brooks,THE CONSERVATIVE HEART,male
1439152802,MORTON KATE,Fiction General,Kate Morton,THE SECRET KEEPER,female
0316049107,MEDIATE ROCCO,Health/Fitness/Medicine/Sports,Rocco Mediate and John Feinstein,ARE YOU KIDDING ME?,multi
031605349X,WEST JERRY,Biography/Autobiography/Memoir,Jerry West and Jonathan Coleman,WEST BY WEST,multi
038553941X,FEINSTEIN JOHN,Biography/Autobiography/Memoir,John Feinstein,THE LEGENDS CLUB,male
0765378558,SANDERSON BRANDON,Fantasy,Brandon Sanderson,SHADOWS OF SELF,male
1402785925,ROSLUND ANDERS,Mystery/Detective,Anders Roslund and Borge Hellstrom,THREE SECONDS,multi
0446554995,PRESTON DOUGLAS J.,Suspense/Thrillers,Douglas Preston and Lincoln Child,TWO GRAVES,multi
0441018688,HARRIS CHARLAINE,Fantasy,edited  Charlaine Harris and Toni L P Kelner,DEATH&#39;S EXCELLENT VACATION,multi
0804179077,GILLIBRAND KIRSTEN,Biography/Autobiography/Memoir,Kirsten Gillibrand with Elizabeth Weil,OFF THE SIDELINES,female
1476714541,PERRY JOE,Biography/Autobiography/Memoir,Joe Perry with David Ritz,ROCKS,multi
1250007135,NYE BILL,Reference,Bill Nye,UNDENIABLE,male
0345509145,GOLDEN CHRISTIE,Science Fiction,Christie Golden,ALLIES,female
1401324800,CASTLE RICHARD,Mystery/Detective,Richard Castle,DEADLY HEAT,male
0385340281,STEEL DANIELLE,Fiction General,Danielle Steel,SOUTHERN LIGHTS,female
1594203970,SMITH ZADIE,Fiction General,Zadie Smith,NW,female
052595192X,HOAG TAMI,Suspense/Thrillers,Tami Hoag,SECRETS TO THE GRAVE,female
0307700313,SMILEY JANE,Fiction General,Jane Smiley,SOME LUCK,female
0385538057,PALAHNIUK CHUCK,Fiction General,Chuck Palahniuk,MAKE SOMETHING UP,male
0385343132,STEEL DANIELLE,Romance,Danielle Steel,LEGACY,female
0670021873,FRENCH TANA,Suspense/Thrillers,Tana French,FAITHFUL PLACE,female
052595144X,LESCROART JOHN,Suspense/Thrillers,John Lescroart,TREASURE HUNT,male
1476752990,HAYGOOD WIL,Biography/Autobiography/Memoir,Wil Haygood,BUTLER,male
052595421X,OFFERMAN NICK,Humor,Nick Offerman,PADDLE YOUR OWN CANOE,male
0399158146,WHITE RANDY WAYNE,Mystery/Detective,Randy Wayne White,CUBA STRAITS,male
0061227331,KELLERMAN FAYE,Mystery/Detective,Faye Kellerman,THE MERCEDES COFFIN,female
1250020204,RAPPAPORT HELEN,History/Law/Political Science,Helen Rappaport,THE ROMANOV SISTERS,female
158333467X,SILBERMAN STEVE,Nonfiction General,Steve Silberman,NEUROTRIBES,male
1594487979,SCOTT JANNY,Biography/Autobiography/Memoir,Janny Scott,A SINGULAR WOMAN,female
006223062X,KAY KATTY,Business/Economics,Katty Kay and Claire Shipman,CONFIDENCE CODE,multi
1596985550,NUGENT TED,History/Law/Political Science,Ted Nugent,"TED, WHITE, AND BLUE",male
0385528787,ATWOOD MARGARET,Science Fiction,Margaret Atwood,MADDADDAM,female
141431163X,ROSENBERG JOEL C.,Religious Fiction,Joel C Rosenberg,THE TWELFTH IMAM,male
1101875550,LAHIRI JHUMPA,Biography/Autobiography/Memoir,Jhumpa Lahiri,IN OTHER WORDS,multi
0307957276,TYLER ANNE,Fiction General,Anne Tyler,THE BEGINNER&#39;S GOODBYE,female
0062015532,OATES JOYCE CAROL,Biography/Autobiography/Memoir,Joyce Carol Oates,A WIDOW&#39;S STORY,female
1439110077,GILLIES ISABEL,Biography/Autobiography/Memoir,Isabel Gillies,HAPPENS EVERY DAY,female
0385352123,MURAKAMI HARUKI,Fiction General,Haruki Murakami,WIND/PINBALL,multi
1439187673,TERENZIO ROSEMARIE,Biography/Autobiography/Memoir,RoseMarie Terenzio,FAIRY TALE INTERRUPTED,female
0374298637,WATERS JOHN,Travel,John Waters,CARSICK,male
1594487154,PINK DANIEL H.,Business/Economics,Daniel H Pink,TO SELL IS HUMAN,male
1401324444,CASTLE RICHARD,Mystery/Detective,Richard Castle,FROZEN HEAT,male
1476725950,JONES SHIRLEY,Biography/Autobiography/Memoir,Shirley Jones with Wendy Leigh,SHIRLEY JONES,female
1400068789,KEATON DIANE,Biography/Autobiography/Memoir,Diane Keaton,THEN AGAIN,female
1439170258,CLARK CAROL HIGGINS,Mystery/Detective,Carol Higgins Clark,WRECKED,female
0060004908,LEHANE DENNIS,Mystery/Detective,Dennis Lehane,WORLD GONE BY,male
0385349912,KRISTOF NICHOLAS,Nonfiction General,Nicholas Kristof and Sheryl WuDunn,A PATH APPEARS,multi
0670021601,GRIMES MARTHA,Mystery/Detective,Martha Grimes,THE BLACK CAT,female
1936488574,KLEIN AARON,History/Law/Political Science,Aaron Klein and Brenda J Elliott,FOOL ME TWICE,multi
0345512065,GIFFORD KATHIE LEE,Humor,Kathie Lee Gifford,JUST WHEN I THOUGHT I&#39;D DROPPED MY LAST EGG,female
0804139571,BURGUNDY RON,Humor,Ron Burgundy,LET ME OFF AT THE TOP!,multi
1118799941,KATUSA MARIN,Business/Economics,Marin Katusa,THE COLDER WAR,male
0312591845,GREEN JANE,Fiction General,Jane Green,TEMPTING FATE,female
055341996X,KOPPEL TED,History/Law/Political Science,Ted Koppel,LIGHTS OUT,male
0399164766,COULTER CATHERINE,Suspense/Thrillers,Catherine Coulter and J T Ellison,THE LOST KEY,multi
0399164146,WOODS STUART,Mystery/Detective,Stuart Woods,DOING HARD TIME,male
0451232615,PAYTON SEAN,Health/Fitness/Medicine/Sports,Sean Payton and Ellis Henican,HOME TEAM,multi
0765321548,WEBER DAVID,Science Fiction,David Weber,HOW FIRM A FOUNDATION,male
0312546610,KENYON SHERRILYN,Romance,Sherrilyn Kenyon,TIME UNTIME,female
0316734918,WRIGHT ROBERT,Religion/Bibles,Robert Wright,THE EVOLUTION OF GOD,male
1400064589,BROKAW TOM,History/Law/Political Science,Tom Brokaw,THE TIME OF OUR LIVES,male
0385337515,GABALDON DIANA,Fiction General,Diana Gabaldon,THE SCOTTISH PRISONER,female
0399157875,KRENTZ JAYNE ANN,Romance,Jayne Ann Krentz,COPPER BEACH,female
0062333933,HIRSI ALI AYAAN,Religion/Bibles,Ayaan Hirsi Ali,HERETIC,female
0061697168,GASPARINO CHARLES,Business/Economics,Charles Gasparino,THE SELLOUT,male
1439160406,MARANISS DAVID,Biography/Autobiography/Memoir,David Maraniss,BARACK OBAMA,male
0307717372,CAROLLA ADAM,Humor,Adam Carolla,IN FIFTY YEARS WE&#39;LL ALL BE CHICKS,male
039915521X,KRENTZ JAYNE ANN,Romance,Jayne Ann Krentz,RUNNING HOT,female
0451226801,LANCASTER JEN,Biography/Autobiography/Memoir,Jen Lancaster,PRETTY IN PLAID,female
0765332000,CARD ORSON SCOTT,Science Fiction,Orson Scott Card,SHADOWS IN FLIGHT,male
1476733767,PAULEY JANE,Self Help,Jane Pauley,YOUR LIFE CALLING,female
0802124801,LEON DONNA,Mystery/Detective,Donna Leon,THE WATERS OF ETERNAL YOUTH,female
0345531043,STEEL DANIELLE,Romance,Danielle Steel,UNDERCOVER,female
0385524285,FAULKS SEBASTIAN,Action/Adventure,Sebastian Faulks,DEVIL MAY CARE,multi
0399159215,BERG A. SCOTT,Biography/Autobiography/Memoir,A Scott Berg,WILSON,male
0446581895,TURNER TED,Biography/Autobiography/Memoir,Ted Turner with Bill Burke,CALL ME TED,multi
0385523211,GRUEN SARA,Fiction General,Sara Gruen,APE HOUSE,female
1416549994,DEAVER JEFFERY,Mystery/Detective,Jeffery Deaver,ROADSIDE CROSSES,male
0385349580,HARRIS ROBERT,Mystery/Detective,Robert Harris,AN OFFICER AND A SPY,male
0061239224,JANCE J. A.,Suspense/Thrillers,J A Jance,FIRE AND ICE,female
0399156127,HIGGINS JACK,Suspense/Thrillers,Jack Higgins,THE WOLF AT THE DOOR,male
0385343663,RACHMAN TOM,Fiction General,Tom Rachman,THE IMPERFECTIONISTS,male
006244428X,MARTINEZ JUAN,Nonfiction General,Juan Martinez,CONVICTION,multi
0399174117,CUSSLER CLIVE,Action/Adventure,Clive Cussler and Graham Brown,THE PHARAOH&#39;S SECRET,multi
0375423729,GLEICK JAMES,Reference,James Gleick,THE INFORMATION,male
1439187711,SPELLING TORI,Biography/Autobiography/Memoir,Tori Spelling with Hilary Liftin,UNCHARTED TERRITORI,female
0316059862,SHREVE ANITA,Fiction General,Anita Shreve,TESTIMONY,female
0060746769,JANCE J. A.,Mystery/Detective,J A Jance,DAMAGE CONTROL,female
0385528779,ATWOOD MARGARET,Fiction General,Margaret Atwood,THE YEAR OF THE FLOOD,female
1455527440,GIFFORD BILL,Reference,Bill Gifford,SPRING CHICKEN,male
1568586434,HEDGES CHRIS,History/Law/Political Science,Chris Hedges and Joe Sacco,"DAYS OF DESTRUCTION, DAYS OF REVOLT",multi
0345506936,HOWARD LINDA,Romance,Linda Howard,SHADOW WOMAN,female
1400067820,TALEB NASSIM NICHOLAS,Nonfiction General,Nassim Nicholas Taleb,ANTIFRAGILE,male
0399156852,PARKER ROBERT B.,Mystery/Detective,Robert B Parker,PAINTED LADIES,male
044653224X,MOORE MICHAEL,Biography/Autobiography/Memoir,Michael Moore,HERE COMES TROUBLE,male
1594204993,KLAY PHIL,Fiction General,Phil Klay,REDEPLOYMENT,male
0670023779,CHERTAVIAN GERALD,Nonfiction General,Gerald Chertavian,YEAR UP,male
1400066115,ANGELOU MAYA,Biography/Autobiography/Memoir,Maya Angelou,MOM & ME & MOM,female
1591845734,LOOMIS CAROL,Business/Economics,Carol J Loomis,TAP DANCING TO WORK,female
0062250949,CORNWELL BERNARD,Fiction General,Bernard Cornwell,WARRIORS OF THE STORM,male
1455517135,DEAVER JEFFERY,Suspense/Thrillers,Jeffery Deaver,THE SKIN COLLECTOR,male
0307957128,BARNES JULIAN,Fiction General,Julian Barnes,THE SENSE OF AN ENDING,male
0765323974,BEAR GREG,Science Fiction,Greg Bear,HALO: SILENTIUM,male
0758211848,JACKSON LISA,Horror/Occult/Psychological,Lisa Jackson,MALICE,female
0544103343,SCHWEIZER PETER,History/Law/Political Science,Peter Schweizer,EXTORTION,male
0765323982,BEAR GREG,Science Fiction,Greg Bear,HALO: SILENTIUM,male
0345517199,HOWARD LINDA,Romance,Linda Howard,ICE,female
0374272603,NORMAN MICHAEL,History/Law/Political Science,Michael Norman and Elizabeth M Norman,TEARS IN THE DARKNESS,multi
0670022314,GROSSMAN LEV,Fantasy,Lev Grossman,THE MAGICIAN KING,male
0345505492,BERRY STEVE,Fiction General,Steve Berry,THE EMPEROR&#39;S TOMB,male
0385518366,LINDSAY JEFF,Suspense/Thrillers,Jeff Lindsay,DEXTER BY DESIGN,male
1501144235,LINDSEY LAWRENCE,History/Law/Political Science,Lawrence B Lindsey,CONSPIRACIES OF THE RULING CLASS,male
0670021113,BALZ DANIEL J.,History/Law/Political Science,Dan Balz and Haynes Johnson,"THE BATTLE FOR AMERICA, 2008",multi
039324721X,BERNANKE BEN S.,Biography/Autobiography/Memoir,Ben S Bernanke,THE COURAGE TO ACT,male
0345543122,EVANOVICH JANET,Mystery/Detective,Janet Evanovich and Lee Goldberg,THE JOB,multi
1416566384,CLARK MARY HIGGINS,Suspense/Thrillers,Elizabeth George,CARELESS IN RED,female
1101875895,HARUF KENT,Fiction General,Kent Haruf,OUR SOULS AT NIGHT,male
0062206281,RUIZ ZAFON CARLOS,Fiction General,Carlos Ruiz Zafón,THE PRISONER OF HEAVEN,male
0525953086,GARDNER LISA,Suspense/Thrillers,Lisa Gardner,FEAR NOTHING,female
1451668724,RONSTADT LINDA,Biography/Autobiography/Memoir,Linda Ronstadt,SIMPLE DREAMS,female
0316204277,SEMPLE MARIA,Fiction General,Maria Semple,"WHERE&#39;D YOU GO, BERNADETTE",female
030740787X,WAHL GRANT,Health/Fitness/Medicine/Sports,Grant Wahl,THE BECKHAM EXPERIMENT,male
1939529220,GOMEZ NAPOLEON,Biography/Autobiography/Memoir,Napoleon Gomez,COLLAPSE OF DIGNITY,male
076531505X,WEBER DAVID,Science Fiction,David Weber,A MIGHTY FORTRESS,male
0385529880,WILENTZ SEAN,Biography/Autobiography/Memoir,Sean Wilentz,BOB DYLAN IN AMERICA,male
1416562176,CLARK CAROL HIGGINS,Mystery/Detective,Carol Higgins Clark,CURSED,female
1591845114,EPSTEIN DAVID,Health/Fitness/Medicine/Sports,David Epstein,THE SPORTS GENE,male
0060539186,SCHAMA SIMON,Art/Architecture/Design/Photography,Simon Schama,THE STORY OF THE JEWS,male
0399154981,GRIFFIN W. E. B.,Mystery/Detective,W E B Griffin and William E Butterworth IV,DEATH AND HONOR,multi
0307267148,KRISTOF NICHOLAS D.,Nonfiction General,Nicholas D Kristof and Sheryl WuDunn,HALF THE SKY,multi
006185929X,BELL TED,Suspense/Thrillers,Ted Bell,WARLORD,male
0307595862,NESBO JO,Mystery/Detective,Jo Nesbo,THE SNOWMAN,multi
0307594165,MORRISON TONI,Fiction General,Toni Morrison,HOME,female
0345528204,SLAUGHTER KARIN,Mystery/Detective,Karin Slaughter,FALLEN,female
0399169121,WOODS STUART,Action/Adventure,Stuart Woods,PARIS MATCH,male
0345547497,SLAUGHTER KARIN,Suspense/Thrillers,Karin Slaughter,COP TOWN,female
0307268969,BURNS KEN,History/Law/Political Science,Dayton Duncan and Ken Burns,THE NATIONAL PARKS,multi
0312533780,KLEYPAS LISA,Romance,Lisa Kleypas,A WALLFLOWER CHRISTMAS,female
0061990639,CROMBIE DEBORAH,Mystery/Detective,Deborah Crombie,THE SOUND OF BROKEN GLASS,female
1250020026,JOHANSEN IRIS,Suspense/Thrillers,Iris Johansen,SILENCING EVE,female
0743278933,BERGEN PETER L.,History/Law/Political Science,Peter L Bergen,THE LONGEST WAR,male
0399155937,PARETSKY SARA,Suspense/Thrillers,Sara Paretsky,HARDBALL,female
1451685718,LOWE ROB,Biography/Autobiography/Memoir,Rob Lowe,LOVE LIFE,male
0399156208,BERENSON ALEX,Suspense/Thrillers,Alex Berenson,THE MIDNIGHT HOUSE,male
1592406521,GARFIELD SIMON,Art/Architecture/Design/Photography,Simon Garfield,JUST MY TYPE,male
0446527874,SIDDONS ANNE RIVERS,Fiction General,Anne Rivers Siddons,OFF SEASON,female
0525950974,KHOURY RAYMOND,Suspense/Thrillers,Raymond Khoury,THE SIGN,male
0399155023,COOK ROBIN,Suspense/Thrillers,Robin Cook,FOREIGN BODY,male
0399173803,COULTER CATHERINE,Suspense/Thrillers,Catherine Coulter and JT Ellison,THE END GAME,multi
0425230155,HARRIS CHARLAINE,Mystery/Detective,Charlaine Harris,GRAVE SECRET,female
0061231428,ROLLINS JAMES,Suspense/Thrillers,James Rollins,ALTAR OF EDEN,male
1101983795,BARRYMORE DREW,Biography/Autobiography/Memoir,Drew Barrymore,WILDFLOWER,male
034553087X,ADRIAN LARA,Romance,Lara Adrian,DARKER AFTER MIDNIGHT,female
1594205418,HORNBY NICK,Fiction General,Nick Horn,FUNNY GIRL,male
0375507485,NAIFEH STEVEN,Biography/Autobiography/Memoir,Steven Naifeh and Gregory White Smith,VAN GOGH,multi
0062368338,ZAMPERINI LOUIS,Biography/Autobiography/Memoir,Louis Zamperini and David Rensin,"DON&#39;T GIVE UP, DON&#39;T GIVE IN",multi
0670018856,GREEN JANE,Fiction General,Jane Green,THE BEACH HOUSE,female
159315481X,BUGLIOSI VINCENT,History/Law/Political Science,Vincent Bugliosi,THE PROSECUTION OF GEORGE W. BUSH FOR MURDER,male
0062131729,SHARP KEN,Biography/Autobiography/Memoir,Ken Sharp with Paul Stanley and Gene Simmons,NOTHIN&#39; TO LOSE,multi
0805087729,PATTERSON RICHARD NORTH,Suspense/Thrillers,Richard North Patterson,ECLIPSE,male
0060798718,SORENSEN TED,Biography/Autobiography/Memoir,Ted Sorensen,COUNSELOR,male
1250019699,ANDREWS MARY KAY,Fiction General,Mary Kay Andrews,SAVE THE DATE,female
0061960586,STEWART ALANA,Biography/Autobiography/Memoir,Alana Stewart,MY JOURNEY WITH FARRAH,female
0312351666,KLEYPAS LISA,Fiction General,Lisa Kleypas,SMOOTH TALKING STRANGER,female
0425277356,FEEHAN CHRISTINE,Romance,Christine Feehan,DARK PROMISES,female
0307453421,MURRAY CHARLES,Nonfiction General,Charles Murray,COMING APART,male
1439150222,PIAZZA MIKE,Biography/Autobiography/Memoir,Mike Piazza with Lonnie Wheeler,LONG SHOT,multi
0307266397,FILKINS DEXTER,History/Law/Political Science,Dexter Filkins,THE FOREVER WAR,male
0345505476,BERRY STEVE,Suspense/Thrillers,Steve Berry,THE PARIS VENDETTA,male
0385520344,TAIBBI MATT,History/Law/Political Science,Matt Taibbi,THE GREAT DERANGEMENT,male
1594633177,MATTHIESSEN PETER,Fiction General,Peter Matthiessen,IN PARADISE,male
1455503258,KOPPEL LILY,Biography/Autobiography/Memoir,Lily Koppel,THE ASTRONAUT WIVES CLUB,female
0446538159,JERICHO CHRIS,Biography/Autobiography/Memoir,Chris Jericho with Peter Thomas Fornatale,UNDISPUTED,multi
147675361X,KEEGAN MARINA,Biography/Autobiography/Memoir,Marina Keegan,THE OPPOSITE OF LONELINESS,female
0061713244,GROGAN JOHN,Biography/Autobiography/Memoir,John Grogan,THE LONGEST TRIP HOME,male
0385353405,ELLIS JOSEPH J.,History/Law/Political Science,Joseph J Ellis,THE QUARTET,male
038534824X,CLEESE JOHN,Biography/Autobiography/Memoir,John Cleese,SO ANYWAY . . .,male
1401324517,NADAL RAFAEL,Biography/Autobiography/Memoir,Rafael Nadal and John Carlin,RAFA,multi
0312341814,COLLINS JACKIE,Romance,Jackie Collins,MARRIED LOVERS,female
0316247766,MANN SALLY,Biography/Autobiography/Memoir,Sally Mann,HOLD STILL,female
0062134701,JANCE J. A.,Mystery/Detective,J A Jance,REMAINS OF INNOCENCE,female
1501116975,ALLENDE ISABEL,Fiction General,Isabel Allende,THE JAPANESE LOVER,multi
0399155910,FRANCIS DICK,Suspense/Thrillers,Dick Francis and Felix Francis,EVEN MONEY,multi
0061558230,DEL TORO GUILLERMO,Horror/Occult/Psychological,Guillermo del Toro and Chuck Hogan,THE STRAIN,multi
145161747X,HOFFMAN ALICE,Fiction General,Alice Hoffman,THE DOVEKEEPERS,female
0553808036,KOONTZ DEAN R.,Suspense/Thrillers,Dean Koontz,INNOCENCE,male
0446539813,LUSTBADER ERIC VAN,Mystery/Detective,Eric Van Lustbader,THE BOURNE OBJECTIVE,multi
1455583634,BAIER BRET,Biography/Autobiography/Memoir,Bret Baier with Jim Mills,SPECIAL HEART,multi
0385349963,RICE ANNE,Fantasy,Anne Rice,THE WOLVES OF MIDWINTER,female
0345486544,HOWARD LINDA,Romance,Linda Howard,DEATH ANGEL,female
1439129177,CLARK MARY HIGGINS,Fiction General,Mary Higgins Clark and Carol Higgins Clark,DASHING THROUGH THE SNOW,multi
0399156747,PARETSKY SARA,Suspense/Thrillers,Sara Paretsky,BODY WORK,female
159420232X,JAMES LEBRON,Biography/Autobiography/Memoir,LeBron James and Buzz Bissinger,SHOOTING STARS,multi
1414319355,ROSENBERG JOEL C.,Suspense/Thrillers,Joel C Rosenberg,THE TEHRAN INITIATIVE,male
