ISBN,Title,FirstDate,LastDate
039917334X,TOM CLANCY: SUPPORT AND DEFEND,8/10/2014,9/7/2014
446554960,FEVER DREAM,5/30/2010,6/27/2010
399155953,KINDRED IN DEATH,11/22/2009,12/6/2009
399164421,THANKLESS IN DEATH,10/6/2013,10/20/2013
345504968,THE PASSAGE,6/27/2010,9/12/2010
553807730,DEEPLY ODD,6/16/2013,6/30/2013
316207047,FIRST LOVE,2/2/2014,3/9/2014
307272591,BAD MONKEY,6/30/2013,9/1/2013
399156259,THE SILENT SEA,3/28/2010,5/2/2010
316210986,GONE,10/20/2013,11/17/2013
385351852,CHESTNUT STREET,5/11/2014,6/15/2014
312577214,FLY AWAY,5/12/2013,6/2/2013
1250022088,THE NATURE OF THE BEAST,9/13/2015,10/11/2015
805090037,BRING UP THE BODIES,5/27/2012,1/13/2013
316407038,ALERT,8/23/2015,9/27/2015
385340303,HAPPY BIRTHDAY,8/7/2011,9/11/2011
1400067685,THE BURGESS BOYS,4/14/2013,6/9/2013
031621115X,PRIVATE VEGAS,2/15/2015,3/29/2015
399161481,SUSPECT,2/10/2013,3/17/2013
62414216,THE NEST,4/10/2016,Not Found
345509102,CONVICTION,6/12/2011,6/19/2011
1451628315,WALKING ON WATER,5/25/2014,6/15/2014
525426590,AFTER YOU,10/18/2015,4/10/2016
316349933,CAREER OF EVIL,11/8/2015,11/29/2015
1439180962,I&#39;LL WALK ALONE,4/24/2011,6/12/2011
1455525774,THE LOST ISLAND,8/24/2014,9/14/2014
441016766,BONE CROSSED,2/22/2009,3/22/2009
61138010,"WHITE WITCH, BLACK CURSE",3/15/2009,4/12/2009
399164448,FESTIVE IN DEATH,9/28/2014,10/19/2014
034552893X,ROSE HARBOR IN BLOOM,9/1/2013,9/8/2013
312348673,LOVE THE ONE YOU&#39;RE WITH,6/8/2008,9/7/2008
425241971,DARK PREDATOR,9/25/2011,10/2/2011
385340990,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,8/17/2008,5/17/2009
316166316,NINE DRAGONS,11/1/2009,12/6/2009
385528701,THE ANGEL&#39;S GAME,7/5/2009,8/16/2009
425270793,DARK WOLF,1/26/2014,2/2/2014
312651228,BONNIE,11/6/2011,11/13/2011
145164311X,FEAST DAY OF FOOLS,10/16/2011,10/30/2011
385343213,FRIENDS FOREVER,8/12/2012,9/23/2012
62325345,FLESH AND BLOOD,11/30/2014,1/11/2015
307272400,NOAH&#39;S COMPASS,1/24/2010,2/14/2010
1400065755,STILL LIFE WITH BREAD CRUMBS,2/16/2014,5/11/2014
1451617720,THEN CAME YOU,7/31/2011,9/4/2011
385341636,FAEFEVER,10/5/2008,10/19/2008
345515633,LAST TO DIE,9/16/2012,9/30/2012
039915826X,FORCE OF NATURE,4/8/2012,4/15/2012
1250034485,BE CAREFUL WHAT YOU WISH FOR,3/30/2014,5/4/2014
375424504,THE DOUBLE COMFORT SAFARI CLUB,5/9/2010,6/13/2010
312577222,THE NIGHTINGALE,2/22/2015,4/10/2016
399155783,LOITERING WITH INTENT,5/10/2009,6/7/2009
399157573,DUST,12/1/2013,1/12/2014
345484207,THE MEASURE OF THE MAGIC,9/11/2011,9/25/2011
61784818,THE 6TH EXTINCTION,8/31/2014,9/21/2014
399160779,ENDANGERED,3/29/2015,4/19/2015
1400064759,AMERICAN WIFE,9/21/2008,10/26/2008
345523474,WARDS OF FAERIE,9/9/2012,9/16/2012
1416586571,THE APOSTLE,7/19/2009,8/16/2009
399157867,V IS FOR VENGEANCE,12/4/2011,1/15/2012
399156879,INDULGENCE IN DEATH,11/21/2010,12/12/2010
399170871,OBSESSION IN DEATH,3/1/2015,3/15/2015
044656432X,GIDEON&#39;S SWORD,3/13/2011,4/3/2011
316069515,THE GODS OF GUILT,12/22/2013,2/16/2014
399164162,CARNAL CURIOSITY,4/27/2014,5/18/2014
61138037,BLACK MAGIC SANCTION,3/14/2010,3/28/2010
307962520,PRINCE LESTAT,11/16/2014,1/18/2015
316176486,LIFE AFTER LIFE,4/21/2013,7/21/2013
1101874279,A SPOOL OF BLUE THREAD,3/1/2015,6/7/2015
345539931,AS CHIMNEY SWEEPERS COME TO DUST,1/25/2015,Not Found
1250034515,MIGHTIER THAN THE SWORD,3/15/2015,4/12/2015
1439136637,REVENGE WEARS PRADA,6/23/2013,7/21/2013
62132520,THE HURRICANE SISTERS,6/22/2014,7/20/2014
385343191,BETRAYAL,4/15/2012,5/27/2012
030727103X,THE BURIED GIANT,3/22/2015,5/3/2015
030737839X,THE SATURDAY BIG TENT WEDDING PARTY,4/10/2011,5/15/2011
446562424,INNOCENT,5/23/2010,7/18/2010
042523567X,FLIRT,2/21/2010,3/21/2010
61784788,THE DEVIL COLONY,7/10/2011,7/31/2011
345545877,SAINT ODD,2/1/2015,3/8/2015
399156437,THE SPY,6/20/2010,7/18/2010
399155031,TAILSPIN,7/13/2008,8/10/2008
307265749,THE LOWLAND,10/13/2013,1/19/2014
446564370,GIDEON&#39;S CORPSE,1/29/2012,2/12/2012
312652917,WICKED APPETITE,10/3/2010,10/31/2010
62190377,SEVENEVES,6/7/2015,7/5/2015
1476716692,AGENDA 21,12/9/2012,1/13/2013
145163806X,A RISING THUNDER,3/25/2012,4/1/2012
345515501,THE SILENT GIRL,7/24/2011,8/7/2011
147671715X,CODE OF CONDUCT,7/26/2015,8/30/2015
441019730,RIVER MARKED,3/20/2011,4/3/2011
312546564,NO MERCY,9/26/2010,10/10/2010
316250813,CALIFORNIA,7/27/2014,8/10/2014
345509064,OUTCAST,4/12/2009,4/26/2009
62124269,FLIGHT BEHAVIOR,11/25/2012,1/20/2013
141658661X,FULL BLACK,8/14/2011,9/18/2011
62011847,SNUFF,10/30/2011,11/6/2011
316406996,NYPD RED 3,4/5/2015,5/10/2015
307595110,THE WOLF GIFT,3/4/2012,4/15/2012
399176764,TOM CLANCY: COMMANDER IN CHIEF,12/20/2015,1/24/2016
345505697,MYSTERY,4/17/2011,5/8/2011
399154973,PLAGUE SHIP,6/22/2008,7/20/2008
425236595,DARK PERIL,9/19/2010,10/3/2010
1439172803,SURVIVORS,10/23/2011,10/30/2011
61779741,SACRÊ BLEU,4/22/2012,5/20/2012
345505751,KILLER,3/2/2014,3/23/2014
688163181,THE GIVEN DAY,10/12/2008,11/9/2008
1400065674,THE BONE CLOCKS,9/21/2014,1/11/2015
446195510,TRUE BLUE,11/15/2009,1/10/2010
1439102392,SPIDER BONES,9/12/2010,10/3/2010
030726579X,HEART AND SOUL,3/8/2009,4/19/2009
307959856,DEATH COMES TO PEMBERLEY,12/25/2011,4/1/2012
345543084,THE CHASE,3/16/2014,4/6/2014
039917088X,DEVOTED IN DEATH,10/4/2015,10/18/2015
61961272,FOLLY BEACH,7/3/2011,7/31/2011
145162607X,THE KINGMAKER&#39;S DAUGHTER,9/2/2012,9/16/2012
399155155,HOT MAHOGANY,10/12/2008,11/2/2008
385338309,FIRST SIGHT,8/4/2013,9/1/2013
399156801,THE COBRA,9/5/2010,9/26/2010
345505514,THE JEFFERSON KEY,6/5/2011,7/3/2011
1439102430,BONES ARE FOREVER,9/16/2012,9/30/2012
1250019834,FIRST FROST,2/8/2015,3/1/2015
312651619,ABUSE OF POWER,10/2/2011,10/16/2011
553804863,BLOOD TIES,2/14/2010,2/21/2010
031609983X,SUMMERLAND,7/15/2012,7/29/2012
385539703,THE CHILDREN ACT,9/28/2014,11/9/2014
385536828,SWEET TOOTH,12/2/2012,1/6/2013
312380755,THINK TWICE,4/4/2010,4/18/2010
385343221,WINNERS,11/17/2013,12/15/2013
145558116X,FRICTION,9/6/2015,9/27/2015
345530942,A PERFECT LIFE,8/10/2014,9/7/2014
345505670,DECEPTION,4/18/2010,5/9/2010
1451628188,THE ROAD TO GRACE,5/27/2012,6/17/2012
345509129,OMEN,7/12/2009,7/19/2009
312546599,RETRIBUTION,8/21/2011,8/28/2011
399156836,THE OUTLAWS,1/16/2011,2/6/2011
1451681739,THE LIGHT BETWEEN OCEANS,8/19/2012,10/28/2012
446563080,ABRAHAM LINCOLN: VAMPIRE HUNTER,3/21/2010,5/9/2010
399156763,LOST EMPIRE,9/19/2010,10/10/2010
345505735,GUILT,3/3/2013,3/24/2013
399155473,MOUNTING FEARS,2/1/2009,2/22/2009
778329836,A TURN IN THE ROAD,5/15/2011,6/12/2011
385343159,PRODIGAL SON,3/15/2015,4/12/2015
399169113,CUT AND THRUST,8/3/2014,8/17/2014
385340257,ROGUE,7/13/2008,7/27/2008
307378403,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,4/22/2012,5/20/2012
62330268,TRIGGER WARNING,2/22/2015,3/29/2015
62107313,THE VALLEY OF AMAZEMENT,11/24/2013,1/19/2014
62351427,WELCOME TO NIGHT VALE,11/8/2015,11/22/2015
399167323,PIRANHA,6/14/2015,7/5/2015
399156909,BAD BLOOD,10/10/2010,10/31/2010
385531389,THE THIRD GATE,7/1/2012,7/22/2012
399157565,THE BONE BED,11/4/2012,12/9/2012
1455517062,THE KILL ROOM,6/23/2013,7/7/2013
399157263,SIXKILL,5/22/2011,6/26/2011
345534182,CIRCLING THE SUN,8/16/2015,10/11/2015
1451661509,THE SILVER STAR,6/30/2013,8/11/2013
125000098X,BEST KEPT SECRET,5/19/2013,6/16/2013
385343140,44 CHARLES STREET,4/24/2011,5/22/2011
399164154,STANDUP GUY,1/26/2014,2/16/2014
399154183,THE FRONT,6/8/2008,6/22/2008
61578916,AGINCOURT,2/8/2009,3/8/2009
61160881,THIS BODY OF DEATH,5/9/2010,6/6/2010
61977969,REAMDE,10/9/2011,10/16/2011
345495136,BONES,11/9/2008,11/30/2008
670026328,THE SECRET PLACE,9/21/2014,10/26/2014
399158812,DELUSION IN DEATH,9/30/2012,10/21/2012
399159266,THE TOMBS,9/23/2012,10/14/2012
399157557,VICTORY AND HONOR,8/28/2011,9/11/2011
345526511,THE COLUMBUS AFFAIR,6/3/2012,6/24/2012
399156429,SPARTAN GOLD,9/20/2009,10/18/2009
385535309,PARIS,5/12/2013,6/16/2013
312567456,POOR LITTLE BITCH GIRL,2/28/2010,3/21/2010
786962232,CHARON&#39;S CLAW,8/26/2012,9/9/2012
345500776,SIZZLE,1/17/2010,2/7/2010
399155333,SILKS,9/14/2008,10/5/2008
399169156,INSATIABLE APPETITES,1/25/2015,2/22/2015
385351836,ONE MORE THING,2/23/2014,3/30/2014
316065781,THE SWAN THIEVES,1/31/2010,3/7/2010
345528506,CRIMINAL,7/22/2012,8/5/2012
525954570,FIND HER,2/28/2016,3/27/2016
670024856,THE SIGNATURE OF ALL THINGS,10/20/2013,1/5/2014
385342063,I&#39;VE GOT YOUR NUMBER,3/4/2012,4/8/2012
316036315,BACK TO BLOOD,11/11/2012,12/2/2012
525954333,A BANQUET OF CONSEQUENCES,11/15/2015,11/29/2015
399155945,THE PROFESSIONAL,10/25/2009,11/15/2009
743290119,CHASING HARRY WINSTON,6/15/2008,8/31/2008
1400067111,SHANGHAI GIRLS,6/14/2009,8/23/2009
039917575X,TOM CLANCY UNDER FIRE,7/5/2015,8/9/2015
345526570,THE LINCOLN MYTH,6/8/2014,6/29/2014
399157328,BACKFIRE,7/29/2012,8/19/2012
60888741,THE BURNING LAND,2/7/2010,2/21/2010
399169164,HOT PURSUIT,4/26/2015,5/10/2015
039915714X,CRESCENT DAWN,12/5/2010,1/16/2011
312380828,COME HOME,4/29/2012,5/20/2012
385343167,FAMILY TIES,7/11/2010,8/1/2010
399157433,SPLIT SECOND,8/7/2011,8/21/2011
1439187312,THE WALK,4/25/2010,5/23/2010
374187614,LILA,10/26/2014,1/11/2015
62294415,THE MAGIC STRINGS OF FRANKIE PRESTO,11/29/2015,1/31/2016
125001011X,EVERY FIFTEEN MINUTES,5/3/2015,5/31/2015
60393491,THE HOUR I FIRST BELIEVED,11/30/2008,2/15/2009
399159878,UNINTENDED CONSEQUENCES,4/28/2013,5/12/2013
765327740,SEVERED SOULS,8/24/2014,8/31/2014
312655452,A TRICK OF THE LIGHT,9/18/2011,10/2/2011
1439187207,THE SNOW ANGEL,11/13/2011,1/8/2012
345509080,BACKLASH,3/28/2010,4/18/2010
525953078,TOUCH AND GO,2/24/2013,3/24/2013
307269752,THE GIRL WITH THE DRAGON TATTOO,10/5/2008,2/1/2009
1439192987,BLACK LIST,8/12/2012,9/23/2012
786958421,NEVERWINTER,10/23/2011,10/30/2011
60548924,A LION AMONG MEN,11/2/2008,1/18/2009
312364121,WINTER GARDEN,2/21/2010,3/28/2010
345544013,BONES NEVER LIE,10/12/2014,10/26/2014
1455525839,WHITE FIRE,12/1/2013,12/15/2013
804137250,ARMADA,8/2/2015,8/30/2015
399172920,HAVANA STORM,11/16/2014,12/14/2014
62049607,LEAVING EVERYTHING MOST LOVED,4/14/2013,4/21/2013
1250029880,STYXX,9/22/2013,9/29/2013
765317680,IMPACT,1/24/2010,2/21/2010
399158863,UNNATURAL ACTS,5/6/2012,5/27/2012
778326438,SUMMER ON BLOSSOM STREET,5/17/2009,6/7/2009
1455527203,IDENTICAL,11/3/2013,12/8/2013
307273563,MINDING FRANKIE,3/20/2011,4/10/2011
399163832,KINSEY AND ME,1/27/2013,2/10/2013
743292510,THE DEVIL&#39;S PUNCHBOWL,7/26/2009,8/16/2009
62311115,THE BONE TREE,5/10/2015,6/14/2015
60590319,FOOL,3/1/2009,4/5/2009
1400063841,LAST NIGHT IN TWISTED RIVER,11/15/2009,12/13/2009
62220551,A DANGEROUS PLACE,4/5/2015,4/19/2015
345528840,BLOSSOM STREET BRIDES,4/13/2014,5/4/2014
034551162X,STAR WARS: AFTERMATH,9/20/2015,1/10/2016
1476728208,THE MISTLETOE PROMISE,12/7/2014,1/4/2015
61941026,WE ARE WATER,11/10/2013,12/15/2013
399160760,STONE COLD,3/30/2014,4/27/2014
385343175,HOTEL VENDOME,11/20/2011,12/11/2011
1101875046,IN THE UNLIKELY EVENT,6/21/2015,8/16/2015
441020038,FAIR GAME,3/25/2012,4/1/2012
670022047,GETTING TO HAPPY,9/26/2010,10/31/2010
034551128X,DARTH PLAGUEIS,1/29/2012,2/19/2012
399156232,SPLIT IMAGE,3/14/2010,4/11/2010
1416594884,A MOST WANTED MAN,10/26/2008,11/23/2008
039916250X,ZERO HOUR,6/16/2013,7/7/2013
385342020,TWENTIES GIRL,8/9/2009,8/30/2009
399156445,LUCID INTERVALS,5/9/2010,5/23/2010
399171274,NEMESIS,7/26/2015,8/16/2015
61493341,TELEGRAPH AVENUE,9/30/2012,10/28/2012
1416550402,TSAR,10/12/2008,11/2/2008
1451664125,IN ONE PERSON,5/27/2012,6/24/2012
553807153,BREATHLESS,12/13/2009,1/10/2010
61351504,WHAT I DID FOR LOVE,2/15/2009,3/1/2009
1400065747,EVERY LAST ONE,5/2/2010,5/30/2010
60852577,THE LACUNA,11/22/2009,1/10/2010
345484177,BEARERS OF THE BLACK STAFF (LEGENDS OF SHANNARA),9/12/2010,9/26/2010
307264238,A MERCY,11/30/2008,2/8/2009
031265121X,QUINN,7/31/2011,8/7/2011
399157824,DEVIL&#39;S GATE,12/4/2011,12/25/2011
345506898,VEIL OF NIGHT,8/29/2010,9/5/2010
125001980X,LOST LAKE,2/9/2014,2/23/2014
1476710767,LIGHT OF THE WORLD,8/11/2013,9/1/2013
312583214,BADLANDS,8/16/2015,8/30/2015
399155961,FIRED UP,1/17/2010,Not Found
399156534,WHIPLASH,7/4/2010,7/25/2010
399160752,BREAKING POINT,3/31/2013,4/21/2013
312364423,NIGHT ROAD,4/10/2011,4/17/2011
399156011,HOTHOUSE ORCHID,10/11/2009,10/25/2009
765335999,THE THIRD KINGDOM,9/8/2013,9/15/2013
1451647018,THE BRIDGE,11/11/2012,11/25/2012
385344414,BURNED,2/8/2015,2/15/2015
61257095,THE SHOEMAKER&#39;S WIFE,4/22/2012,6/17/2012
778327809,HANNAH&#39;S LIST,5/16/2010,6/6/2010
316099759,THE MATCHMAKER,6/29/2014,7/20/2014
61961299,PORCH LIGHTS,7/1/2012,7/29/2012
802123538,FALLING IN LOVE,4/26/2015,5/3/2015
525954546,COLD COLD HEART,2/1/2015,2/22/2015
765321564,LIKE A MIGHTY ARMY,3/9/2014,Not Found
61779768,THE SERPENT OF VENICE,5/11/2014,5/18/2014
1451628293,A STEP OF FAITH,5/26/2013,6/16/2013
425255662,A SHIVER OF LIGHT,6/22/2014,Not Found
61779725,BITE ME,4/11/2010,4/25/2010
1416548521,SWAN PEAK,7/27/2008,8/17/2008
1451628005,LOST DECEMBER,11/20/2011,12/18/2011
312364105,TRUE COLORS,2/22/2009,3/29/2009
006225071X,THE EMPTY THRONE,1/25/2015,2/8/2015
345543041,THE HEIST,7/7/2013,7/28/2013
307594173,GOD HELP THE CHILD,5/10/2015,6/21/2015
1250019982,TAKING EVE,5/5/2013,5/12/2013
1250019672,LADIES&#39; NIGHT,6/23/2013,7/7/2013
1455525898,BLUE LABYRINTH,11/30/2014,12/21/2014
399159088,CRYSTAL GARDENS,5/13/2012,5/20/2012
399167307,THE EYE OF HEAVEN,9/21/2014,10/12/2014
1451664168,AVENUE OF MYSTERIES,11/22/2015,1/3/2016
399173358,TOM CLANCY FULL FORCE AND EFFECT,12/21/2014,2/1/2015
525426930,DRY BONES,5/31/2015,6/14/2015
045146365X,SIDE JOBS,11/14/2010,11/28/2010
044655393X,THE PRESIDENT&#39;S SHADOW,7/5/2015,8/2/2015
805093990,THE WHITES,3/8/2015,4/12/2015
1594204780,DOG SONGS,10/27/2013,12/29/2013
006195795X,THE WITCH WITH NO NAME,9/28/2014,Not Found
385340265,A GOOD WOMAN,11/16/2008,1/11/2009
145164020X,THE THIRD BULLET,2/3/2013,2/24/2013
1455581127,MEAN STREAK,9/7/2014,9/28/2014
385538030,BEAUTIFUL YOU,11/9/2014,11/16/2014
553391798,SILVER LININGS,8/30/2015,9/13/2015
399174680,SCANDALOUS BEHAVIOR,1/31/2016,2/21/2016
1250056233,THE PATRIOT THREAT,4/19/2015,5/17/2015
399155805,THE PERFECT POISON,5/10/2009,5/24/2009
553807250,LOVE YOU MORE,3/27/2011,4/10/2011
61246263,A RIVER IN THE SKY,4/25/2010,5/9/2010
312642695,SUMMER RENTAL,6/26/2011,7/24/2011
385517882,SNUFF,6/8/2008,7/6/2008
385342047,MINI SHOPAHOLIC,10/10/2010,10/24/2010
1439191379,MILES TO GO,4/24/2011,5/1/2011
399171754,THE ASSASSIN,3/22/2015,4/19/2015
1455501557,LOW PRESSURE,10/7/2012,10/28/2012
345545931,THE CITY,7/20/2014,8/3/2014
312642717,SPRING FEVER,6/24/2012,7/1/2012
425255700,AFFLICTION,7/21/2013,7/28/2013
62200577,NOS4A2,5/19/2013,6/23/2013
316038393,SQUIRREL SEEKS CHIPMUNK,10/17/2010,1/30/2011
451466802,THE AERONAUT&#39;S WINDLASS,10/18/2015,10/25/2015
399155007,SUNDAYS AT TIFFANY&#39;S,6/8/2008,7/13/2008
345543858,DIE AGAIN,1/18/2015,Not Found
385343183,BIG GIRL,3/14/2010,4/11/2010
62049577,ELEGY FOR EDDIE,4/15/2012,4/22/2012
61692042,CANADA,6/10/2012,7/22/2012
1451648138,CREOLE BELLE,8/5/2012,9/2/2012
399157840,ROBERT B. PARKER&#39;S KILLING THE BLUES,10/2/2011,10/16/2011
399157336,BOMBSHELL,7/28/2013,8/18/2013
61957917,EVER AFTER,2/10/2013,2/24/2013
1451635834,THE EYE OF MOLOCH,6/30/2013,7/7/2013
385353774,CITY ON FIRE,11/1/2015,11/15/2015
034550075X,FIRE AND ICE,1/18/2009,2/8/2009
61348139,FATALLY FLAKY,4/26/2009,5/10/2009
385340273,MATTERS OF THE HEART,6/21/2009,7/12/2009
316079928,THE BROKEN EYE,9/14/2014,Not Found
1594202249,INHERENT VICE,8/23/2009,9/13/2009
039915986X,COLLATERAL DAMAGE,1/27/2013,2/10/2013
1451620691,CARTE BLANCHE,7/3/2011,7/24/2011
034550691X,PREY,9/25/2011,10/2/2011
145161778X,ALL FALL DOWN,7/6/2014,8/3/2014
399157654,SON OF STONE,10/9/2011,10/30/2011
307378411,THE MINOR ADJUSTMENT BEAUTY SALON,11/24/2013,12/8/2013
006178480X,THE EYE OF GOD,7/14/2013,8/4/2013
385533411,SOLAR,4/18/2010,5/2/2010
307394972,SECRETS OF EDEN,2/21/2010,3/7/2010
670023655,BROKEN HARBOR,8/12/2012,9/9/2012
385523238,AT THE WATER&#39;S EDGE,4/19/2015,6/21/2015
307960498,POLICE,11/3/2013,11/10/2013
1439128243,RAIN GODS,8/2/2009,8/16/2009
758280343,RED VELVET CUPCAKE MURDER,3/17/2013,Not Found
031609966X,SILVER GIRL,7/10/2011,7/31/2011
399156267,DEEP SHADOW,3/28/2010,4/11/2010
1451649320,THE LAKE HOUSE,11/8/2015,11/15/2015
1476763127,THE CINDERELLA MURDER,12/7/2014,1/11/2015
446573256,BORN OF SHADOWS,5/15/2011,Not Found
61836923,MOONLIGHT MILE,11/21/2010,12/5/2010
316176532,A GOD IN RUINS,5/24/2015,6/7/2015
812992970,THE AGE OF MIRACLES,7/15/2012,8/12/2012
1439128294,THE GLASS RAINBOW,8/1/2010,8/29/2010
345495969,DIVINE MISDEMEANORS,12/27/2009,1/17/2010
345486560,BURN,7/26/2009,8/2/2009
553391887,LAST ONE HOME,3/29/2015,4/19/2015
1401310400,HEAT WAVE,11/1/2009,1/3/2010
385344058,THE DEAD IN THEIR VAULTED ARCHES,2/2/2014,Not Found
385533020,DAMNED,11/6/2011,11/20/2011
62132563,ALL THE SINGLE LADIES,6/28/2015,7/19/2015
345526546,THE KING&#39;S DECEPTION,6/30/2013,7/14/2013
345541405,BREAKDOWN,2/21/2016,3/20/2016
307271862,THE MAN FROM BEIJING,3/7/2010,3/21/2010
316334529,THE RUMOR,7/5/2015,8/23/2015
312651325,THE HUSBAND LIST,1/27/2013,2/3/2013
399155996,THE WRECKER,12/6/2009,1/10/2010
1400065933,I STILL DREAM ABOUT YOU,11/28/2010,1/9/2011
525953019,HOTSHOT,8/25/2013,9/1/2013
385350287,THE TWELVE TRIBES OF HATTIE,12/23/2012,3/10/2013
1439199353,THE BOSTON GIRL,12/28/2014,4/12/2015
553807137,YOUR HEART BELONGS TO ME,12/14/2008,1/18/2009
1439172560,THE FIRST BAD MAN,2/1/2015,2/15/2015
399155414,NIGHT AND DAY,3/15/2009,4/12/2009
399157379,QUICKSILVER,5/8/2011,5/15/2011
1400065941,THE ALL-GIRL FILLING STATION&#39;S LAST REUNION,11/24/2013,12/29/2013
1416586598,FOREIGN INFLUENCE,7/18/2010,8/8/2010
670014893,A DELICATE TRUTH,5/26/2013,6/16/2013
1476758794,THE TAMING OF THE QUEEN,9/13/2015,9/27/2015
345539818,GOLDEN SON,1/25/2015,2/1/2015
147675666X,WE ARE NOT OURSELVES,9/7/2014,10/5/2014
145162803X,A WINTER DREAM,11/18/2012,12/2/2012
307700186,ALEPH,10/16/2011,10/23/2011
1416563814,FATAL ERROR,2/20/2011,3/6/2011
1476749116,THE MELODY LINGERS ON,7/12/2015,8/2/2015
60873027,MICRO,12/11/2011,1/15/2012
145551604X,CROSS ROADS,12/2/2012,2/17/2013
312358342,THE LEFTOVERS,9/18/2011,10/9/2011
765378574,THE BANDS OF MOURNING,2/14/2016,2/21/2016
399155198,ROUGH WEATHER,11/9/2008,11/23/2008
670021474,ANGELOLOGY,3/28/2010,4/18/2010
140006788X,NIGHT FILM,9/8/2013,9/22/2013
039915566X,THE HONOR OF SPIES,1/17/2010,2/7/2010
1455525928,CRIMSON SHORE,11/29/2015,12/6/2015
1439165394,HER FEARFUL SYMMETRY,10/18/2009,1/17/2010
525954457,FAST TRACK,8/17/2014,Not Found
425268330,DARK LYCAN,9/22/2013,9/29/2013
345528891,STARRY NIGHT,10/27/2013,11/24/2013
399159843,SEVERE CLEAR,10/7/2012,10/21/2012
345501551,DARK OF NIGHT,2/15/2009,2/22/2009
385343833,THE TIGER&#39;S WIFE,3/27/2011,5/22/2011
1401324819,RAGING HEAT,10/5/2014,10/12/2014
307593495,THE TROUBLED MAN,4/17/2011,Not Found
61727679,A LESSON IN SECRETS,4/10/2011,Not Found
399158030,ROBERT B. PARKER&#39;S LULLABY,5/20/2012,6/17/2012
812993845,WEDDING NIGHT,5/12/2013,5/19/2013
345497945,THE FINAL STORM,6/5/2011,6/26/2011
1250065933,BEACH TOWN,6/7/2015,6/28/2015
006227645X,DESERT GOD,11/9/2014,Not Found
399157085,THE SECRET SOLDIER,2/27/2011,3/13/2011
1594204233,BLEEDING EDGE,10/6/2013,10/13/2013
316126691,THE ART OF FIELDING,9/25/2011,1/8/2012
525953612,MRS. LINCOLN&#39;S DRESSMAKER,2/3/2013,2/24/2013
61348171,THE WHOLE ENCHILADA,9/15/2013,9/22/2013
399157514,THE SPYMASTERS,8/26/2012,9/16/2012
670026468,ANY OTHER NAME,6/1/2014,6/15/2014
399156631,THE VIGILANTES,8/29/2010,9/12/2010
307911543,THE HANDSOME MAN&#39;S DE LUXE CAFÉ,11/16/2014,12/7/2014
399159509,ROBERT B. PARKER&#39;S DAMNED IF YOU DO,9/29/2013,10/6/2013
1594487367,THIS IS HOW YOU LOSE HER,9/30/2012,11/11/2012
61351520,CALL ME IRRESISTIBLE,2/6/2011,2/27/2011
399165142,OTHERWISE ENGAGED,5/11/2014,5/18/2014
1400069491,MIDNIGHT IN EUROPE,6/22/2014,7/20/2014
345537262,ROGUES,7/6/2014,Not Found
1416585834,DOG ON IT,3/8/2009,3/15/2009
1416545182,MIDNIGHT,11/23/2008,2/8/2009
62106066,THE GREAT ESCAPE,7/29/2012,Not Found
525952977,THE 9TH GIRL,7/7/2013,7/21/2013
385350864,BRIDGET JONES: MAD ABOUT THE BOY,11/3/2013,11/10/2013
145161781X,WHO DO YOU LOVE,8/30/2015,9/20/2015
62134671,SECOND WATCH,9/29/2013,10/6/2013
307595129,MAINE,7/3/2011,8/21/2011
1501108557,ALL DRESSED IN WHITE,12/6/2015,12/27/2015
345523504,BLOODFIRE QUEST,3/31/2013,4/7/2013
345527356,A BLAZE OF GLORY,6/17/2012,7/15/2012
525954562,CRASH AND BURN,2/22/2015,3/15/2015
312651236,WHAT DOESN&#39;T KILL YOU,5/6/2012,5/13/2012
039917124X,THE ASSASSINATION OPTION,1/18/2015,Not Found
670022241,OUR KIND OF TRAITOR,10/31/2010,11/21/2010
1594634475,FATES AND FURIES,10/4/2015,3/20/2016
316099783,BEAUTIFUL DAY,7/14/2013,8/11/2013
553807986,PIRATE KING,9/25/2011,Not Found
316201642,S.,11/17/2013,3/9/2014
425255808,DARK STORM,10/21/2012,10/28/2012
758234937,CINNAMON ROLL MURDER,3/18/2012,Not Found
61969702,THE PAGAN LORD,1/26/2014,Not Found
030791156X,THE WOMAN WHO WALKED IN SUNSHINE,11/15/2015,Not Found
345501535,INTO THE FIRE,8/10/2008,Not Found
758280378,BLACKBERRY PIE MURDER,3/16/2014,Not Found
743276744,THREE STATIONS,9/5/2010,9/19/2010
312651201,EVE,5/8/2011,5/15/2011
1439156336,THE BURNING WIRE,6/20/2010,6/27/2010
031253955X,ONLY TIME WILL TELL,9/18/2011,10/2/2011
1455501514,DEADLINE,10/13/2013,10/20/2013
553392719,WICKED CHARMS,7/12/2015,7/26/2015
385521227,SISTERHOOD EVERLASTING,7/3/2011,7/24/2011
399158138,BONE DEEP,3/23/2014,Not Found
812993101,THE SUMMER BEFORE THE WAR,4/10/2016,Not Found
778325911,A CEDAR COVE CHRISTMAS,10/19/2008,11/23/2008
1400064945,HOMER & LANGLEY,9/20/2009,10/11/2009
052595130X,DEEPER THAN THE DEAD,1/17/2010,2/14/2010
345521307,THE PARIS WIFE,3/13/2011,5/20/2012
1414319703,DAMASCUS COUNTDOWN,3/24/2013,4/14/2013
